,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2016-03-01,13014.0,9256.0,3757.0,3090.0,667.0,-110.0,557.0,196.0,30.0,330.0,12076.0,4495.0,4113.0,126.0,254.0,16572.0,,,,3951.0,1882.0,10615.0,722.0,1027.0,-2706.0,1211.0
2017-03-01,12489.0,9301.0,3188.0,3075.0,112.0,17.0,129.0,90.0,-40.0,78.0,12462.0,4383.0,3991.0,142.0,248.0,16845.0,,,,4270.0,2084.0,10416.0,842.0,738.0,1997.0,-180.0
2018-03-01,14405.0,10597.0,3808.0,3294.0,514.0,-141.0,373.0,115.0,-48.0,307.0,12776.0,4869.0,4419.0,121.0,328.0,17645.0,,,,4356.0,2654.0,10601.0,816.0,-2038.0,-1131.0,887.0
2019-03-01,14416.0,10204.0,4212.0,3206.0,1005.0,-4.0,1001.0,191.0,0.0,810.0,13653.0,4402.0,3773.0,135.0,493.0,18055.0,3379.0,1082.0,2360.0,4472.0,2422.0,11253.0,707.0,1527.0,-397.0,170.0
2020-03-01,15669.0,11041.0,4628.0,3616.0,1012.0,111.0,1123.0,46.0,,1076.0,13093.0,7561.0,6529.0,179.0,852.0,20654.0,3744.0,1113.0,3619.0,4786.0,3766.0,12221.0,640.0,1528.0,-3187.0,1114.0
2021-03-01,18521.0,12052.0,6468.0,3805.0,2663.0,-89.0,2574.0,537.0,,2037.0,18181.0,7397.0,6521.0,195.0,680.0,25578.0,6518.0,1264.0,5193.0,4848.0,5319.0,15577.0,929.0,1415.0,-1496.0,2970.0
2022-03-01,23599.0,14627.0,8971.0,4018.0,4953.0,139.0,5092.0,1290.0,,3802.0,25495.0,7497.0,6492.0,185.0,819.0,32992.0,11799.0,1511.0,3837.0,7380.0,3823.0,21677.0,1015.0,4813.0,-562.0,947.0
2023-03-01,20781.0,13393.0,7388.0,4183.0,3205.0,260.0,3465.0,853.0,,2612.0,24994.0,7697.0,6767.0,202.0,727.0,32691.0,12779.0,1406.0,2775.0,5493.0,2955.0,23819.0,1108.0,3348.0,-849.0,-1582.0
2024-03-01,17461.0,12217.0,5243.0,4373.0,870.0,137.0,1007.0,384.0,,622.0,26143.0,8626.0,7896.0,186.0,,34769.0,14217.0,1278.0,4380.0,5519.0,4580.0,23969.0,1065.0,2315.0,-2202.0,879.0
2025-03-01,23829.0,14370.0,9458.0,4873.0,4585.0,42.0,4627.0,1172.0,,3454.0,28463.0,11395.0,10638.0,259.0,,39859.0,12148.0,1331.0,4549.0,6789.0,5155.0,26801.0,1196.0,1801.0,-3581.0,-514.0
2026-03-01,25500.0,,,,3750.0,,,,,2500.0,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,
