,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2016-06-01,10529.0,7483.0,3045.0,990.0,2054.0,-47.0,2007.0,657.0,0.0,1350.0,19416.0,1688.0,411.0,531.0,745.0,21104.0,,,,12398.0,221.0,8446.0,207.0,2554.0,218.0,-1108.0
2017-06-01,10260.0,7673.0,2586.0,1487.0,1099.0,140.0,1239.0,369.0,0.0,869.0,20753.0,1704.0,415.0,829.0,459.0,22457.0,,,,13513.0,164.0,8698.0,279.0,2328.0,-1341.0,-596.0
2018-06-01,9783.0,7917.0,1866.0,1188.0,677.0,31.0,708.0,213.0,0.0,495.0,14481.0,2330.0,528.0,1105.0,696.0,16811.0,,,,8725.0,178.0,7812.0,316.0,-3993.0,35.0,-1405.0
2019-06-01,10032.0,8422.626,1609.512,1106.304,503.0,34.582,537.582,162.68,0.0,374.0,15138.438,3822.241,2027.734,1080.065,714.0,18960.0,12915.351,,,11325.418,191.678,7353.515,410.013,3177.641,-477.858,-848.434
2020-06-01,9379.0,7758.259,1621.268,803.864,817.0,-98.195,718.805,224.397,,494.0,14504.476,5570.337,2851.274,876.19,1842.0,20074.0,8689.868,740.0,,12867.295,197.682,6940.011,489.615,-1846.779,-1181.78,-196.928
2021-06-01,8842.0,7511.062,1330.942,763.422,567.0,99.454,666.454,272.536,,393.0,14034.219,7223.249,4347.788,733.326,2142.0,21257.0,10503.958,100.0,1900.0,11960.298,2121.39,7097.891,366.442,2599.796,-1799.223,1013.509
2022-06-01,8950.177,7483.554,1466.622,730.735,735.886,34.83,770.716,238.488,,532.0,16864.282,6778.354,4207.103,565.45,2005.0,23642.0,13129.291,100.0,1800.0,14205.805,2026.027,7353.94,451.736,3285.674,-269.576,-390.766
2023-06-01,9424.198,7572.518,1851.679,912.346,939.332,22.295,961.627,326.123,,635.0,18756.227,6136.18,3888.345,444.212,1803.0,24892.0,14070.8,75.0,1725.0,15105.577,1959.883,7737.99,404.68,1114.125,268.392,-360.987
2024-06-01,10132.265,7992.238,2140.026,917.659,1222.366,1.794,1224.16,387.369,,836.0,21746.583,5394.791,3790.788,340.829,,27141.0,16657.168,125.0,1600.0,16917.841,1844.6,8272.361,314.549,2644.701,333.887,-392.221
2025-06-01,10918.645,8399.891,2518.754,1016.465,1502.289,93.359,1595.648,517.756,,1077.0,23250.192,6052.25,3771.641,393.134,,29302.0,17495.195,100.0,1500.0,18683.062,1758.677,8779.754,318.868,2406.247,-831.204,-737.015
2026-06-01,11500.0,,,,1680.0,,,,,1100.0,,,,,,,,,,,,,,,,
2027-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,
