,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,のれん償却,営業CF,投資CF,財務CF
2016-03-01,37030.0,30122.0,6907.0,4950.0,1957.0,35.0,1992.0,809.0,49.0,1134.0,15703.0,6202.0,2143.0,2008.0,2049.0,21905.0,,,,6737.0,3701.0,11074.0,1666.0,117.0,3679.0,-1608.0,-621.0
2017-03-01,39092.0,31662.0,7429.0,5140.0,2289.0,-329.0,1960.0,648.0,46.0,1265.0,17233.0,6471.0,1885.0,2429.0,2156.0,23706.0,,,,7208.0,3899.0,12174.0,1623.0,,3943.0,-1652.0,-671.0
2018-03-01,40281.0,32195.0,8086.0,5280.0,2806.0,-784.0,2022.0,735.0,63.0,1223.0,18430.0,6659.0,1522.0,2290.0,2845.0,25090.0,,,,7184.0,4079.0,13352.0,1604.0,,2655.0,-47.0,-730.0
2019-03-01,42581.0,33631.0,8949.0,5476.0,3473.0,-91.0,3382.0,999.0,61.0,2322.0,20100.0,8430.0,1802.0,2911.0,3715.0,28530.0,,,,8491.0,4296.0,15228.0,1658.0,,3999.0,-1872.0,-809.0
2020-03-01,47953.0,33597.629,8833.905,4659.511,4803.0,-0.264,4802.736,1257.305,-131.0,3181.0,21364.483,11497.502,3546.907,2776.382,3876.0,33864.0,42.805,890.68,2253.244,10251.579,5491.113,16696.023,2128.081,90.363,6006.32,-2757.267,-1386.239
2021-03-01,46468.0,36144.116,10323.651,5657.606,4666.0,31.775,4697.775,1509.743,102.337,3086.0,24413.187,10856.216,2941.64,2495.58,4083.0,36129.0,32.363,892.683,1620.094,10806.87,5077.684,18715.486,2373.288,90.363,6089.919,-1095.147,-1839.958
2022-03-01,50395.0,36568.638,9788.647,4805.251,5609.0,35.136,5644.136,1570.78,-118.0,3724.0,28191.164,10194.807,2330.202,2548.647,3957.0,39343.0,1722.677,854.9,1028.011,11954.14,4609.152,21339.862,2332.681,90.363,5155.834,-1650.457,-1824.914
2023-03-01,51616.949,41094.813,10522.136,5098.02,5424.116,857.533,6281.649,1541.203,-155.0,4323.0,31233.791,9947.259,1914.013,2378.487,4343.0,42557.0,3712.048,723.368,758.507,12410.348,4425.039,23604.68,2390.442,90.131,6004.115,-1288.929,-2681.88
2024-03-01,56695.779,44036.223,12659.556,6130.997,6528.559,923.932,7452.491,2019.0,,4969.0,37364.838,9550.657,2580.84,2658.675,,46915.0,7334.622,757.142,1254.422,11556.809,5324.889,28104.469,2337.138,89.668,7368.634,-1328.555,-2748.549
2025-03-01,58234.616,45454.759,12779.857,6204.506,6575.351,1091.957,7667.308,1699.0,,5442.0,40271.064,12794.656,4078.78,2741.396,,53066.0,24053.157,1146.784,2382.432,12521.638,6399.096,31850.707,2523.729,89.668,8740.897,-3180.046,-2792.316
2026-03-01,58620.0,,,,6300.0,,,,,4260.0,,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
