,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,のれん償却,営業CF,投資CF,財務CF
2016-03-01,23990.0,17704.0,6286.0,4203.0,2082.0,103.0,2185.0,894.0,0.0,1291.0,18340.0,17489.0,9037.0,3528.0,4923.0,35829.0,,,,6549.0,3580.0,25672.0,711.0,184.0,1915.0,493.0,-3466.0
2017-03-01,29122.0,21315.0,7806.0,4580.0,3226.0,169.0,3395.0,1170.0,0.0,2224.0,22999.0,17304.0,9128.0,3138.0,5037.0,40303.0,,,,8295.0,4281.0,27668.0,731.0,182.0,6808.0,-135.0,-91.0
2018-03-01,27277.0,19601.0,7675.0,5463.0,2211.0,198.0,2409.0,1011.0,0.0,1398.0,35301.0,30490.0,10368.0,15001.0,5121.0,65792.0,,,,18807.0,18392.0,28492.0,649.0,180.0,-579.0,-16128.0,16068.0
2019-03-01,52794.0,39365.0,13429.0,9109.0,4319.0,-24.0,4295.0,1549.0,0.0,2746.0,37807.0,31381.0,10671.0,14098.0,6611.0,69188.0,,,,19707.0,18998.0,30367.0,1673.0,796.0,2647.0,-2004.0,-1872.0
2020-03-01,45077.0,32997.685,12079.882,9207.969,2871.0,-268.653,2602.347,1121.219,60.6,1420.0,36329.86,28649.62,11103.024,11470.784,6075.0,64979.0,10568.802,3734.921,13474.703,18372.398,16490.64,29382.678,1879.01,756.406,4231.885,-1069.679,-1759.015
2021-03-01,36537.0,26540.088,9997.584,8574.098,1423.0,121.469,1544.469,411.15,382.033,751.0,37620.314,28818.291,10678.798,10306.819,7832.0,66438.0,,7612.908,13225.232,18281.454,16477.915,29562.683,1778.419,765.694,-553.061,-658.489,2678.515
2022-03-01,34404.0,24439.88,9964.469,8924.175,1040.0,1501.093,2541.093,1092.353,,1448.0,37435.002,27966.745,10387.865,9717.314,7861.0,65401.0,14225.298,5330.63,11790.693,17366.166,14962.524,30317.252,1016.21,749.391,6323.601,-11.932,-4534.061
2023-03-01,40683.716,29167.794,11515.921,9508.628,2007.293,750.399,2757.692,1053.442,,1704.0,44982.11,28092.383,10842.093,9377.919,7872.0,73074.494,16429.604,7225.697,10846.493,23380.814,13655.959,31409.522,1099.245,802.363,2544.823,-766.047,-95.898
2024-03-01,52307.054,37707.762,14599.291,11436.497,3162.794,429.035,3591.829,1502.168,17.601,2072.0,49052.614,31979.375,11343.531,10198.523,,81031.0,22264.385,12099.182,4720.506,30217.554,8914.001,32759.377,1162.561,906.267,9537.996,-2407.267,-2196.087
2025-03-01,61861.6,43622.218,18239.381,13442.057,4797.324,503.167,5300.491,2375.526,-70.496,2995.0,54169.895,33637.657,13871.718,9821.886,,87807.0,21846.573,6152.667,10594.218,27595.944,14887.95,34974.213,1287.128,1047.918,3272.18,-3401.416,-1180.445
2026-03-01,70000.0,,,,5000.0,,,,,3200.0,,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
