,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,のれん償却,営業CF,投資CF,財務CF
2016-03-01,8377.0,4386.0,3990.0,2718.0,1272.0,-8.0,1264.0,484.0,0.0,779.0,6545.0,3862.0,2897.0,110.0,854.0,10407.0,,,,1181.0,549.0,8677.0,256.0,,992.0,-529.0,-116.0
2017-03-01,9412.0,4964.0,4448.0,3037.0,1410.0,-125.0,1285.0,464.0,0.0,821.0,7897.0,3684.0,2816.0,134.0,733.0,11581.0,,,,1430.0,731.0,9420.0,257.0,,1072.0,-20.0,-119.0
2018-03-01,9111.0,4758.0,4352.0,3114.0,1238.0,1.0,1239.0,406.0,0.0,833.0,9551.0,3569.0,2723.0,82.0,763.0,13120.0,,,,1126.0,755.0,11238.0,189.0,,1006.0,-120.0,959.0
2019-03-01,8186.0,4267.13,3919.372,3226.452,692.0,-0.998,691.002,222.381,0.0,468.0,9592.556,3838.537,2698.588,150.828,989.0,13431.0,6503.27,,,939.604,1008.714,11521.193,157.761,,211.494,-192.916,-119.188
2020-03-01,8930.0,4685.386,4244.767,3479.14,765.0,-201.663,563.337,239.11,2.546,321.0,9753.748,4076.287,2800.927,208.309,1067.0,13830.0,6603.707,,,1110.478,1064.581,11722.162,192.41,,660.588,-356.448,-275.896
2021-03-01,9486.0,5091.604,4394.456,3475.279,919.0,43.124,962.124,277.856,0.868,683.0,10568.73,4125.996,2906.199,205.053,1014.0,14694.0,7342.853,,,1382.112,1114.552,12246.058,325.716,,1245.622,-344.28,-184.102
2022-03-01,11565.0,5882.229,5683.64,4166.465,1517.0,65.232,1582.232,509.713,2.374,1070.0,12085.747,4330.306,2782.217,324.736,1223.0,16416.0,8276.521,46.273,193.18,1775.043,1386.943,13205.4,291.392,2.203,1340.683,-268.051,-194.777
2023-03-01,13456.19,7087.274,6368.916,5165.045,1203.871,32.307,1236.178,405.947,4.313,825.0,9685.674,7347.338,5968.967,452.468,925.0,17033.012,4865.751,60.545,209.969,1802.682,1514.15,13607.847,347.62,8.813,-11.215,-3062.581,-463.567
2024-03-01,14514.84,7659.538,6855.301,5380.02,1475.28,69.717,1544.997,396.872,7.306,1140.0,10692.674,7509.132,5984.965,539.098,,18201.0,6017.416,56.109,153.86,2006.935,1614.063,14356.242,522.997,4.406,2288.144,-653.627,-538.92
2025-03-01,15568.092,7703.97,7864.122,5974.012,1890.109,80.055,1970.164,502.611,4.554,1462.0,10841.277,8630.612,7028.002,518.477,,19471.0,5597.109,50.968,102.892,2007.907,1494.943,15423.56,451.505,0.0,1365.234,-1374.407,-535.978
2026-03-01,17870.0,,,,2000.0,,,,,1495.0,,,,,,,,,,,,,,,,,
2027-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
