,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2019-07-01,30152.0,25620.0,4532.0,3411.0,1121.0,-28.0,1093.0,321.0,0.0,773.0,6818.0,1372.0,788.0,90.0,493.0,8190.0,,,,3723.0,1529.0,,76.0,279.0,-427.0,894.0
2020-07-01,35773.0,30930.0,4843.0,3968.0,874.0,-12.0,862.0,268.0,,594.0,6817.0,1580.0,987.0,191.0,401.0,8398.0,,,,3553.0,1390.0,,96.0,638.0,-357.0,-484.0
2021-07-01,41163.0,35276.736,5886.272,4665.301,1220.0,-60.865,1159.135,412.878,,746.0,9674.527,2442.591,1669.629,305.954,467.0,12117.0,3946.986,2033.723,1825.04,4549.326,2233.781,5330.013,107.927,189.273,-940.614,2386.063
2022-07-01,51870.742,44423.105,7447.636,5942.242,1505.394,-72.739,1432.655,476.975,,955.0,12149.456,3251.162,2020.671,524.976,705.0,15400.0,3882.0,3684.621,2267.609,6443.861,2732.445,6211.606,158.791,-1073.357,-1133.392,2008.856
2023-07-01,63647.613,54686.467,8961.145,7440.421,1520.724,-42.525,1478.199,490.139,,988.0,15805.04,4154.44,2729.234,646.832,778.0,19959.0,3272.694,6124.737,2997.396,9283.392,3543.707,7111.391,226.673,-2391.352,-1299.74,3081.684
2024-07-01,77790.938,65914.626,11876.312,9090.557,2785.754,-32.865,2752.889,912.555,,1840.0,21692.915,5463.109,3740.7,736.626,,27156.0,3935.97,9487.314,3554.154,14154.589,4123.788,8852.657,310.98,-1838.019,-1042.168,3810.471
2025-07-01,98241.0,,,,3847.0,,,,,2332.0,,,,,,,,,,,,,,,,
2026-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,
