,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,のれん償却,営業CF,投資CF,財務CF
2016-06-01,15230.0,12756.0,2474.0,795.0,1678.0,4.0,1682.0,600.0,-1.0,1083.0,9514.0,1339.0,99.0,7.0,1232.0,10854.0,,,,3207.0,392.0,7185.0,39.0,,196.0,174.0,-412.0
2017-06-01,16251.0,13634.0,2616.0,805.0,1811.0,9.0,1820.0,612.0,1.0,1206.0,10215.0,1592.0,91.0,17.0,1483.0,11807.0,,,,3190.0,484.0,8057.0,39.0,,872.0,-6.0,-556.0
2018-06-01,16688.0,13997.0,2691.0,866.0,1825.0,49.0,1874.0,665.0,0.0,1207.0,11357.0,1697.0,84.0,21.0,1592.0,13055.0,,,,3702.0,520.0,8739.0,37.0,,1240.0,-53.0,-585.0
2019-06-01,16278.0,13453.554,2825.143,829.494,1995.0,19.149,2014.149,671.655,-2.975,1345.0,12100.605,1578.952,102.161,16.139,1460.0,13679.0,4754.865,840.0,,3846.649,416.477,8928.201,34.016,,1310.483,-34.076,-620.258
2020-06-01,19325.0,16086.454,3239.346,922.827,2316.0,22.635,2338.635,754.07,,1584.0,14439.692,1754.595,188.671,24.349,1541.0,16194.0,5055.985,840.0,,5488.878,448.917,9782.542,56.022,,1142.967,-110.476,-731.37
2021-06-01,12209.0,10738.68,1470.792,815.04,655.0,55.736,710.736,254.852,,455.0,11325.052,2098.481,229.41,28.69,1840.0,13423.0,7580.54,840.0,,2528.362,570.817,9594.635,67.28,,3388.235,-206.206,-657.473
2022-06-01,11134.027,9400.328,1733.699,850.124,883.574,43.307,926.881,328.39,,598.0,11537.63,2226.75,192.517,28.979,2005.0,13764.0,8590.452,840.0,,2598.899,620.858,9737.767,60.086,,1555.306,-24.624,-520.77
2023-06-01,11774.484,9873.781,1900.703,750.129,1150.573,-596.838,553.735,198.031,,355.0,9548.77,1645.615,164.428,26.937,1454.0,11194.0,5781.523,840.0,,2365.241,401.911,7821.65,53.149,,-717.612,211.756,-2303.073
2024-06-01,17503.626,14564.431,2939.194,932.443,2006.751,48.645,2055.396,649.416,,1405.0,12326.014,1759.236,216.479,44.974,,14085.0,8452.9,840.0,,4422.371,360.525,8752.724,47.592,4.108,3395.211,-44.898,-678.936
2025-06-01,17782.855,14599.161,3183.694,1030.773,2152.92,-541.445,1611.475,479.273,,1132.0,12255.082,1964.43,214.015,145.465,,14219.0,8128.004,541.706,71.483,3880.05,447.457,9418.711,56.41,11.555,733.134,-91.441,-966.589
2026-06-01,18800.0,,,,2208.0,,,,,1500.0,,,,,,,,,,,,,,,,,
2027-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
