,売上高,売上原価,売上総利益,販売管理費,営業利益,その他収益,税引前利益,税金費用,非支配株主利益,当期利益,流動資産,固定資産,有形固定資産,無形固定資産,投資その他の資産,総資産,現金,短期有利子負債,長期有利子負債,流動負債,固定負債,自己資本,減価償却費,営業CF,投資CF,財務CF
2015-09-01,4272.0,3164.0,1108.0,773.0,334.0,-1.0,333.0,124.0,0.0,209.0,3843.0,2449.0,1704.0,35.0,709.0,6292.0,,,,,,3787.0,121.0,,,
2016-09-01,4499.0,3408.0,1090.0,758.0,332.0,-13.0,319.0,113.0,0.0,205.0,3814.0,2516.0,1871.0,36.0,608.0,6331.0,,,,,,3662.0,129.0,,,
2017-09-01,4419.0,3231.0,1187.0,838.0,349.0,-323.0,26.0,-6.0,0.0,33.0,3864.0,2596.0,1780.0,37.0,779.0,6461.0,,,,,,3467.0,179.0,,,
2018-09-01,4607.0,3376.823,1230.212,761.553,468.0,-33.108,434.892,137.075,0.0,297.0,4007.002,2574.31,1774.098,36.154,764.0,6581.0,1103.533,673.0,864.161,1819.219,1170.379,3543.979,180.452,639.375,-149.811,-215.733
2019-09-01,4279.0,3299.62,979.825,735.383,244.0,3.469,247.469,74.378,0.0,173.0,3828.51,2615.717,1763.193,73.709,778.0,6444.0,678.101,744.439,941.104,1509.147,1367.841,3546.855,177.254,-241.592,-224.513,40.674
2020-09-01,3123.0,2505.243,618.402,633.818,-15.0,4.874,-10.126,2.892,,-13.0,3408.058,2602.677,1797.663,62.999,742.0,6010.0,659.045,1126.608,455.458,1754.6,888.604,3363.65,168.536,416.123,-215.289,-219.889
2021-09-01,3698.0,2756.967,941.435,648.889,292.0,-3.131,288.869,89.436,,199.0,3683.562,2693.315,1799.933,53.324,840.0,6376.0,998.836,723.268,858.172,1642.717,1235.603,3410.502,143.779,633.229,-105.291,-188.147
2022-09-01,4332.14,3186.617,1145.523,700.284,445.238,23.587,468.825,143.354,,325.0,4074.201,2600.114,1789.237,45.107,765.0,6674.0,1172.466,925.836,674.301,1983.286,1049.303,3589.215,168.698,451.044,-98.116,-179.297
2023-09-01,4577.128,3182.026,1395.102,805.303,589.798,-26.249,563.549,165.722,,397.0,3833.99,2517.885,1728.623,36.201,753.0,6351.0,453.658,663.792,783.168,1772.978,1057.578,3371.306,149.477,65.685,-34.034,-750.459
2024-09-01,4964.94,3202.706,1762.234,845.789,916.444,-23.657,892.787,254.844,,637.0,4412.769,2626.096,1609.216,31.911,,7038.0,229.693,324.141,854.393,1610.702,1209.022,3838.286,202.273,202.55,-81.693,-344.821
2025-09-01,5700.0,,,,1210.0,,,,,829.0,,,,,,,,,,,,,,,,
2026-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2027-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2028-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,
2029-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,
